feature,original_feature,feature_group
hashtag_#hiddengems,hashtag,metadata
hashtag_#learnontiktok,hashtag,metadata
hashtag_#lifehacks,hashtag,metadata
hashtag_#lifestyle,hashtag,metadata
hashtag_#makeup,hashtag,metadata
hashtag_#morningroutine,hashtag,metadata
hashtag_#motivation,hashtag,metadata
hashtag_#music,hashtag,metadata
hashtag_#ootd,hashtag,metadata
hashtag_#pets,hashtag,metadata
hashtag_#recipe,hashtag,metadata
hashtag_#relatable,hashtag,metadata
hashtag_#skincare,hashtag,metadata
hashtag_#sports,hashtag,metadata
hashtag_#streamer,hashtag,metadata
hashtag_#streetfood,hashtag,metadata
hashtag_#studywithme,hashtag,metadata
hashtag_#tech,hashtag,metadata
hashtag_#travel,hashtag,metadata
hashtag_#wanderlust,hashtag,metadata
hashtag_#workout,hashtag,metadata
sound_type_licensed,sound_type,metadata
sound_type_original,sound_type,metadata
sound_type_trending,sound_type,metadata
device_type_android,device_type,metadata
device_type_ios,device_type,metadata
device_type_web,device_type,metadata
genre_beauty,genre,content_basic
genre_comedy,genre,content_basic
genre_dance,genre,content_basic
genre_diy,genre,content_basic
genre_education,genre,content_basic
genre_fashion,genre,content_basic
genre_food,genre,content_basic
genre_gaming,genre,content_basic
genre_lifestyle,genre,content_basic
genre_music,genre,content_basic
genre_pets,genre,content_basic
genre_sports,genre,content_basic
genre_tech,genre,content_basic
genre_travel,genre,content_basic
publish_dayofweek_friday,publish_dayofweek,temporal
publish_dayofweek_monday,publish_dayofweek,temporal
publish_dayofweek_saturday,publish_dayofweek,temporal
publish_dayofweek_sunday,publish_dayofweek,temporal
publish_dayofweek_thursday,publish_dayofweek,temporal
publish_dayofweek_tuesday,publish_dayofweek,temporal
publish_dayofweek_wednesday,publish_dayofweek,temporal
publish_period_afternoon,publish_period,temporal
publish_period_evening,publish_period,temporal
publish_period_morning,publish_period,temporal
publish_period_night,publish_period,temporal
event_season_backtoschool,event_season,temporal
event_season_holidayseason,event_season,temporal
event_season_ramadan,event_season,temporal
event_season_regular,event_season,temporal
event_season_summerbreak,event_season,temporal
creator_tier_micro,creator_tier,creator
creator_tier_mid,creator_tier,creator
season_fall,season,temporal
season_spring,season,temporal
season_summer,season,temporal
season_winter,season,temporal
device_brand_desktop,device_brand,metadata
device_brand_huawei,device_brand,metadata
device_brand_iphone,device_brand,metadata
device_brand_oppo,device_brand,metadata
device_brand_other,device_brand,metadata
device_brand_pixel,device_brand,metadata
device_brand_samsung,device_brand,metadata
device_brand_vivo,device_brand,metadata
device_brand_xiaomi,device_brand,metadata
traffic_source_external,traffic_source,metadata
traffic_source_following,traffic_source,metadata
traffic_source_foryou,traffic_source,metadata
traffic_source_home,traffic_source,metadata
traffic_source_search,traffic_source,metadata
traffic_source_suggested,traffic_source,metadata
